First_name,Gender
aabiskar,m
aachal,m
aadarsh,m
aadarsha,m
aadesh,m
aaditya,m
aagya,m
aakash,m
aakriti,f
aalok,m
aanchal,m
aaniya,f
aaradhya,m
aaras,m
aarati,f
aarav,m
aarogya,m
aaron,m
aarya,f
aaryaman,m
aaryan,m
aashana,f
aashif,m
aashik,m
aashika,f
aashish,m
aashraya,m
aashu,f
aashutosh,m
aasna,f
aastha,f
aavas,m
aavash,m
aawaz,m
aayush,m
aayusha,f
aayushka,f
aayushma,f
aayushree,f
abal,m
abdul,m
abhi,m
abhijit,m
abhinab,m
abhinav,m
abhinaya,m
abhisam,m
abhishek,m
abhishekh,m
abhishrent,m
abinash,m
abishek,m
acchividhu,f
achyut,m
adarsha,f
adheesh,m
adhipman,m
aditi,f
aditya,m
agrim,m
ainul,m
ajay,m
ajeet,m
ajib,m
ajit,m
akash,m
akhilesh,m
akito,m
akriti,f
akshay,m
alex,m
alin,m
alina,f
alish,m
aliza,f
alok,m
amamul,m
aman,m
amartyaswor,m
amit,m
amlesh,m
amrita,f
amu,f
amulya,m
anamika,f
ananda,m
ananya,f
aniket,m
anil,m
anima,f
animesh,m
anish,m
anisha,f
anjali,f
anjil,m
anjila,f
ankit,m
ankita,f
ankoor,m
anmol,m
annu,f
anshu,m
anubhav,m
anugya,m
anuj,m
anuja,f
anujaya,f
anup,m
anupam,m
anupama,f
anupraj,m
anurag,m
anush,m
anusha,f
anuska,f
anustha,f
aparna,m
apekshya,f
apil,m
arabin,m
aradhya,m
arbin,m
archisha,f
arjit,m
arpan,m
arpita,f
arun,m
arya,f
aryaman,m
asahi,m
asbin,m
ashesh,m
ashik,m
ashim,m
ashish,m
ashmit,m
ashok,m
ashraya,m
ashutosh,m
ashwini,f
asim,m
asmit,m
asmita,f
astuti,f
atit,m
avinabh,m
avinash,m
avinav,m
avisek,m
avishek,m
aviyan,m
awanish,m
awiral,m
ayush,m
ayusha,f
ayushma,f
badal,m
baldeep,m
baliram,m
banshika,f
barsha,f
basant,m
bhagya,m
bhagyarath,m
bharat,m
bhaskar,m
bhawana,f
bhawani,f
bhishm,m
bhupendra,m
bhuwan,m
bibek,m
bibhav,m
bibhu,m
bibhushan,m
bibhushika,f
bibisha,f
bidhan,m
bidhyasagar,m
bijay,m
bijaya,m
bijeet,m
bikal,m
bikalpa,m
bikash,m
bikesh,m
bikram,m
bimal,m
bimarsh,m
bimarsha,f
bimochan,m
binav,m
binay,m
binaya,m
binayak,m
binisha,f
binit,m
biniv,m
binu,f
bipin,m
biplabi,f
biplov,m
bipul,m
biraj,m
birat,m
birendra,m
bisesh,m
bishal,m
bisham,m
bishant,m
bishesh,m
bishow,m
bishowdip,m
bishwas,m
biswas,m
bivash,m
bivek,m
brijesh,m
bronisha,f
chand,m
chandan,m
chandish,m
charwi,f
chetan,m
chetana,f
chhawi,f
chhaya,f
chirayu,m
cosmic,m
cyrus,m
dakshata,f
darpan,m
darshan,m
darwin,m
deepsan,m
deepshikha,f
deewa,f
dendan,m
denish,m
denny,f
dev,m
devesh,m
devish,m
dhan,m
dhiraj,m
dhrub,m
dhurub,m
diba,f
dibya,m
dibyansh,m
diksha,f
dikshant,m
dikshika,f
dikshit,m
dikshya,f
dikshyanta,f
dilasha,f
dinesh,m
dipa,f
dipak,m
dipendra,m
dipesh,m
dipika,f
dipisha,f
dipsa,f
dipti,f
dishant,m
ditish,m
diwakar,m
diwas,m
diwash,m
drishti,f
dristi,f
dropati,f
elina,f
elsan,m
enish,m
enjila,f
eshika,f
estella,f
evika,f
faruka,f
fayeza,f
gajendra,m
ganesh,m
ganga,f
garima,f
gaurab,m
gaurav,m
gautam,m
ghanashyam,m
giriraj,m
girish,m
gokarn,m
gopal,m
govin,m
govinda,m
grishma,f
gyanendra,m
hari,m
harikrishna,m
hem,m
hemanshu,m
himal,m
himani,f
himanshi,f
himanshu,m
hitesh,m
homnath,m
hridam,m
hridayandra,m
hridayanshu,m
hridesh,m
hrishav,m
hritik,m
impress,m
indus,m
inoj,m
isha,f
ishab,m
ishan,m
ishashree,f
ishwor,m
james,m
janak,m
jashmi,f
jasmine,f
jastika,f
jeena,f
jeeyas,m
jenik,m
jenish,m
jenisha,f
jenith,m
jenny,f
jeron,m
jessica,f
jiban,m
jishan,m
jiwan,m
johan,m
joshana,f
junika,f
junu,f
jyoti,f
kabi,m
kabiraj,m
kabita,f
kalpana,f
kalpit,m
kamakshi,f
kamalesh,m
kanchan,m
kapil,m
karuna,f
kasmik,m
kaushal,m
kaustuv,m
keshab,m
keshav,m
khushboo,f
khushi,f
kiran,m
kirtan,m
kohinoor,f
kripa,f
krish,m
krisha,f
krishala,f
krishan,m
krishma,f
krishna,m
kristina,f
kritan,m
kritazya,m
kriti,f
kritika,f
kritima,f
kritish,m
kritisha,f
kshitij,m
kshitish,m
kshitiz,m
kul,m
kushal,m
lakhan,m
lakpa,m
lalan,m
lalit,m
lalita,f
laxman,m
laxmi,f
leena,f
lijima,f
lilaj,m
liza,f
lokendra,m
lokesh,m
lokman,m
lumanti,f
maansi,f
madhav,m
madhusudan,m
mahendra,m
mamata,f
manasi,f
manaswi,f
mandip,m
mandira,f
mani,f
manish,m
manisha,f
manita,f
manjil,m
manjila,f
manjit,m
manju,f
manoj,m
mausam,m
maya,f
meena,f
melina,f
mikchhiring,m
mikita,f
milan,m
miraj,m
mishan,m
mohan,m
mohit,m
monika,f
mukesh,m
muna,f
muskan,m
nabin,m
nabindra,m
naina,f
namuna,f
narayan,m
narendra,m
naresh,m
naveen,m
navin,m
navnit,m
nawaraj,m
neer,m
neha,f
nehab,m
nibesh,m
nibhrit,m
nicholas,m
nidan,m
nikesh,m
niket,m
nikhil,m
nimesh,m
nimisha,f
nimta,f
ninamhang,m
nipsha,f
nipurna,m
niraj,m
nirajan,m
niranjan,m
nirdesh,m
nirdeshika,f
nirika,f
nirjal,m
nirjara,f
nirmal,m
nirnaya,m
nirwan,m
nischal,m
nischhal,m
nisha,f
nishan,m
nishant,m
nishchal,m
nisma,f
nitesh,m
niyati,f
nugen,m
nutan,m
ojashwi,f
ojaswi,f
om,m
palistha,f
pallav,m
pankaj,m
paras,m
paribesh,m
parishkrit,m
parth,m
pawan,m
payal,m
piyush,m
pooja,f
prabal,m
prabesh,m
prabhat,m
prabhav,m
prabidhi,f
prabin,m
prachit,m
prachun,m
pradeep,m
pradiksha,f
pradip,m
pragya,f
pragyan,m
prajeeta,f
prajwal,m
prajwol,m
prakalpa,m
prakash,m
prakriti,f
pramesh,m
pramit,m
pramod,m
pranav,m
pranaya,f
pranika,f
pranish,m
pranisha,f
pranjal,m
pranjit,m
pranshu,f
prasamsha,f
prasanna,m
prasannata,f
prasansa,f
prasansha,f
prashamsa,f
prashamshya,f
prashan,m
prashanna,m
prashant,m
prashanta,f
prashesh,m
prashil,m
prasid,m
prasidha,m
prasil,m
prasis,m
prasun,m
prateek,m
pratigya,m
pratik,m
pratiksha,f
pratikshya,f
pratima,f
pratishthit,m
pratistha,f
prativa,f
pratush,m
pratyoos,m
pratyush,m
pravesh,m
prayasa,f
prayojan,m
preeti,f
prem,m
prerana,f
prince,m
princika,f
prinka,f
prisam,m
pritaz,m
prithak,m
prithu,f
priti,f
priya,f
priyajan,m
priyanka,f
puja,f
pujan,m
pujita,f
pukar,m
pulendra,m
purnika,f
purnima,f
purusotam,m
puspa,f
queen,f
rabin,m
rabina,f
rabindra,m
rachit,m
radheshyam,m
ragee,f
raghav,m
ragini,f
ragosh,m
rahul,m
raj,m
rajan,m
rajanand,m
rajani,f
rajat,m
rajendra,m
rajesh,m
rajish,m
rajit,m
rajiv,m
rajkumar,m
rajun,m
rajwala,f
rakesh,m
rakshya,f
ram,m
raman,m
ranjan,m
ranjana,f
ranjit,m
rasdeep,m
rashami,f
rashika,f
rashmi,f
ratneshwar,m
raunak,m
ravi,m
ravindra,m
reeju,f
reejul,f
reina,f
rejina,f
rekha,f
renisha,f
resha,f
rhiddhi,f
richa,f
rifat,m
riik,m
rija,f
rijan,m
rikesh,m
rikrita,f
risab,m
rishab,m
rishap,m
rishav,m
rishek,m
rishikesh,m
rishit,m
ritesh,m
ritik,m
ritish,m
ritu,f
riwaj,m
riya,f
riyan,m
rizan,m
rmoon,m
rodish,m
rohan,m
rohit,m
roja,f
rojin,f
rojina,f
roma,f
roman,m
romas,m
romee,f
romie,f
ronak,m
ronish,m
roshan,m
roshani,f
roshil,m
roshni,f
rosy,f
rounak,m
royal,m
royas,m
rubin,m
ruby,f
rujan,m
rujin,m
rupesh,m
rusha,f
rushal,m
saan,m
sabal,m
sabhya,f
sabin,m
sabina,f
sachhyam,m
sachin,m
sadhana,f
sadiksha,f
sadikshya,f
sadina,f
safal,m
sagar,m
sagarmani,m
sagun,f
sagya,f
sahaj,m
sahanaj,m
sahid,m
sahil,m
saimon,m
saisa,f
sajina,f
sakar,m
sakchhyam,m
saklen,m
sakriya,f
saksham,m
sakshi,f
sakshy,f
sakshyam,m
saleel,m
samaksha,f
saman,m
samarpan,m
samaya,f
sambid,m
sambodhan,m
sameer,m
samikshya,f
samip,m
samir,m
samira,f
sammit,m
sampada,f
sampurna,f
samragi,f
samrat,m
samriddhi,f
samridhi,f
samundra,m
samyam,m
samyog,m
sanaya,f
sanchita,f
sandeep,m
sandesh,m
sandhya,f
sandip,m
sangit,m
sanjana,f
sanjay,m
sanjeet,m
sanjib,m
sanjip,m
sanjit,m
sanjita,f
sankalp,m
sankalpa,m
sanskar,m
sanskriti,f
santosh,m
santu,f
sapana,f
saptak,m
sarad,m
sarina,f
sarju,f
saroj,m
sashank,m
sashmin,m
sashwot,m
saswat,m
satwik,m
saugat,m
sauhardha,m
saujan,m
saumya,m
saurab,m
saurabmalla,f
saurav,m
sayuj,m
seema,f
seewani,f
sejal,m
shafal,m
shahash,m
shailendra,m
shair,m
shaksham,m
shakti,f
shaligram,m
shaloni,f
shambhu,m
shanaya,f
shankar,m
sharad,m
shashank,m
shashwat,m
sheersa,f
shekhar,m
shiba,m
shikha,f
shikhar,m
shiksha,f
shirish,m
shishir,m
shiv,m
shiva,m
shivam,m
shivang,m
shivashankar,m
shivshankar,m
shovit,m
shraddha,f
shrajeela,f
shrawon,m
shree,m
shreed,m
shreejal,m
shreejan,m
shreevatsa,f
shreeya,f
shreeyam,m
shreeyukta,f
shrejal,m
shreya,f
shreyansh,m
shreyas,m
shreyash,m
shrijan,m
shrinkhala,f
shristi,f
shristika,f
shristy,f
shruti,f
shubham,m
shubheksha,f
shudan,m
shuvam,m
shuyash,m
shweta,f
shyam,m
siddhant,m
siddhanta,f
siddharth,m
siddhartha,m
sijan,m
silvica,f
simon,m
simran,m
sindhu,f
sirsha,f
sital,m
sitashma,f
sitesh,m
siwangi,f
smarika,f
smritee,f
smriti,f
sneha,f
snehi,f
snup,m
sobit,m
somya,f
sona,f
sonia,f
sonika,f
soniya,f
sonu,f
sopnil,m
soyam,m
soyesh,m
spandan,m
sparsh,m
spreeha,f
srashta,f
srijal,m
srijana,f
sristi,f
sthapana,f
stuti,f
subash,m
subesh,m
subha,f
subhakar,m
subham,m
subhas,m
subhash,m
subhashish,m
subhava,f
subhekshya,f
subhikshya,f
subidha,f
subodh,m
sudarshan,m
sudesh,m
sudikshya,f
sudip,m
sudishya,f
sudisna,f
sugam,m
sujal,m
sujan,m
sujen,m
sukrit,m
sulab,m
sulav,m
suman,m
sumin,m
sumina,f
sumira,f
sumit,m
sumnima,f
sunayan,m
sundeep,m
sunil,m
sunim,m
sunitee,f
suniti,f
sunny,m
suprem,m
suprim,m
supriya,f
supurda,f
